recipeName,Rating,instructions,ingredientName
Toast,0,"You can't fuck this up",bread
Omelette,0,"Crack some eggs into a bowl. Add in some salt, pepper and toppings of your choice. Put on a hot pan and cook till ready",egg
Omelette,0,"Crack some eggs into a bowl. Add in some salt, pepper and toppings of your choice. Put on a hot pan and cook till ready",pepper
Omelette,0,"Crack some eggs into a bowl. Add in some salt, pepper and toppings of your choice. Put on a hot pan and cook till ready",salt
"Mac and Cheese",0,"Boil and drain macaroni per box instructions.
Melt the butter in a skillet.
Sprinkle in flour and stir until pasty.
Whisk in warmed milk and let cook until thickened.
Add cheese to sauce.
Add sauce to pasta.",butter
"Mac and Cheese",0,"Boil and drain macaroni per box instructions.
Melt the butter in a skillet.
Sprinkle in flour and stir until pasty.
Whisk in warmed milk and let cook until thickened.
Add cheese to sauce.
Add sauce to pasta.","cheddar cheese"
"Mac and Cheese",0,"Boil and drain macaroni per box instructions.
Melt the butter in a skillet.
Sprinkle in flour and stir until pasty.
Whisk in warmed milk and let cook until thickened.
Add cheese to sauce.
Add sauce to pasta.",chilli
"Mac and Cheese",0,"Boil and drain macaroni per box instructions.
Melt the butter in a skillet.
Sprinkle in flour and stir until pasty.
Whisk in warmed milk and let cook until thickened.
Add cheese to sauce.
Add sauce to pasta.",flour
"Mac and Cheese",0,"Boil and drain macaroni per box instructions.
Melt the butter in a skillet.
Sprinkle in flour and stir until pasty.
Whisk in warmed milk and let cook until thickened.
Add cheese to sauce.
Add sauce to pasta.",garlic
"Mac and Cheese",0,"Boil and drain macaroni per box instructions.
Melt the butter in a skillet.
Sprinkle in flour and stir until pasty.
Whisk in warmed milk and let cook until thickened.
Add cheese to sauce.
Add sauce to pasta.",milk
"Mac and Cheese",0,"Boil and drain macaroni per box instructions.
Melt the butter in a skillet.
Sprinkle in flour and stir until pasty.
Whisk in warmed milk and let cook until thickened.
Add cheese to sauce.
Add sauce to pasta.",salt
"Scrambled Eggs",0,"In a bowl, whisk eggs, milk, salt and pepper.
In a large skillet, heat oil over medium heat.
Pour in egg mixture; stir in cheese sauce.
Cook and stir until eggs are thickened and no liquid egg remains","black pepper"
"Scrambled Eggs",0,"In a bowl, whisk eggs, milk, salt and pepper.
In a large skillet, heat oil over medium heat.
Pour in egg mixture; stir in cheese sauce.
Cook and stir until eggs are thickened and no liquid egg remains",butter
"Scrambled Eggs",0,"In a bowl, whisk eggs, milk, salt and pepper.
In a large skillet, heat oil over medium heat.
Pour in egg mixture; stir in cheese sauce.
Cook and stir until eggs are thickened and no liquid egg remains",milk
"Scrambled Eggs",0,"In a bowl, whisk eggs, milk, salt and pepper.
In a large skillet, heat oil over medium heat.
Pour in egg mixture; stir in cheese sauce.
Cook and stir until eggs are thickened and no liquid egg remains",salt
"Grilled Cheese",0,"On two slices of bread, layer the cheeses; top with remaining bread.
Butter the outsides of sandwiches; sprinkle with garlic salt.
Cook on an indoor grill or panini maker for 1-2 minutes or until bread is browned and cheese is melted.",bread
"Grilled Cheese",0,"On two slices of bread, layer the cheeses; top with remaining bread.
Butter the outsides of sandwiches; sprinkle with garlic salt.
Cook on an indoor grill or panini maker for 1-2 minutes or until bread is browned and cheese is melted.","cheddar cheese"
"Bean and Beef Chili",0,"In a large skillet, cook beef, onion and garlic over medium heat 6-8 minutes or until beef is no longer pink, breaking up beef into crumbles; drain.
Transfer beef mixture to a 5-qt. slow cooker.
Drain one can of tomatoes, discarding liquid; add to slow cooker.
Stir in beans, chili powder, cumin, salt and remaining tomatoes.
Cook, covered, on low 6-8 hours to allow flavors to blend.
Mash beans to desired consistency. Serve with toppings as desired.",bean
"Bean and Beef Chili",0,"In a large skillet, cook beef, onion and garlic over medium heat 6-8 minutes or until beef is no longer pink, breaking up beef into crumbles; drain.
Transfer beef mixture to a 5-qt. slow cooker.
Drain one can of tomatoes, discarding liquid; add to slow cooker.
Stir in beans, chili powder, cumin, salt and remaining tomatoes.
Cook, covered, on low 6-8 hours to allow flavors to blend.
Mash beans to desired consistency. Serve with toppings as desired.",beef
"Bean and Beef Chili",0,"In a large skillet, cook beef, onion and garlic over medium heat 6-8 minutes or until beef is no longer pink, breaking up beef into crumbles; drain.
Transfer beef mixture to a 5-qt. slow cooker.
Drain one can of tomatoes, discarding liquid; add to slow cooker.
Stir in beans, chili powder, cumin, salt and remaining tomatoes.
Cook, covered, on low 6-8 hours to allow flavors to blend.
Mash beans to desired consistency. Serve with toppings as desired.",chilli
"Bean and Beef Chili",0,"In a large skillet, cook beef, onion and garlic over medium heat 6-8 minutes or until beef is no longer pink, breaking up beef into crumbles; drain.
Transfer beef mixture to a 5-qt. slow cooker.
Drain one can of tomatoes, discarding liquid; add to slow cooker.
Stir in beans, chili powder, cumin, salt and remaining tomatoes.
Cook, covered, on low 6-8 hours to allow flavors to blend.
Mash beans to desired consistency. Serve with toppings as desired.",cumin
"Bean and Beef Chili",0,"In a large skillet, cook beef, onion and garlic over medium heat 6-8 minutes or until beef is no longer pink, breaking up beef into crumbles; drain.
Transfer beef mixture to a 5-qt. slow cooker.
Drain one can of tomatoes, discarding liquid; add to slow cooker.
Stir in beans, chili powder, cumin, salt and remaining tomatoes.
Cook, covered, on low 6-8 hours to allow flavors to blend.
Mash beans to desired consistency. Serve with toppings as desired.",garlic
"Bean and Beef Chili",0,"In a large skillet, cook beef, onion and garlic over medium heat 6-8 minutes or until beef is no longer pink, breaking up beef into crumbles; drain.
Transfer beef mixture to a 5-qt. slow cooker.
Drain one can of tomatoes, discarding liquid; add to slow cooker.
Stir in beans, chili powder, cumin, salt and remaining tomatoes.
Cook, covered, on low 6-8 hours to allow flavors to blend.
Mash beans to desired consistency. Serve with toppings as desired.",onion
"Bean and Beef Chili",0,"In a large skillet, cook beef, onion and garlic over medium heat 6-8 minutes or until beef is no longer pink, breaking up beef into crumbles; drain.
Transfer beef mixture to a 5-qt. slow cooker.
Drain one can of tomatoes, discarding liquid; add to slow cooker.
Stir in beans, chili powder, cumin, salt and remaining tomatoes.
Cook, covered, on low 6-8 hours to allow flavors to blend.
Mash beans to desired consistency. Serve with toppings as desired.",salt
"Bean and Beef Chili",0,"In a large skillet, cook beef, onion and garlic over medium heat 6-8 minutes or until beef is no longer pink, breaking up beef into crumbles; drain.
Transfer beef mixture to a 5-qt. slow cooker.
Drain one can of tomatoes, discarding liquid; add to slow cooker.
Stir in beans, chili powder, cumin, salt and remaining tomatoes.
Cook, covered, on low 6-8 hours to allow flavors to blend.
Mash beans to desired consistency. Serve with toppings as desired.",tomato
BLT,0," In a large skillet, cook bacon over medium heat until crisp. Remove to paper towels to drain.
In a small bowl, mix mayonnaise, vinegar, pepper and salt.
Spread half of the mixture over four toast slices.
Layer with bacon, salad greens, tomatoes and avocado.
Spread remaining mayonnaise over remaining toast; place over top.",avocado
BLT,0," In a large skillet, cook bacon over medium heat until crisp. Remove to paper towels to drain.
In a small bowl, mix mayonnaise, vinegar, pepper and salt.
Spread half of the mixture over four toast slices.
Layer with bacon, salad greens, tomatoes and avocado.
Spread remaining mayonnaise over remaining toast; place over top.",bacon
BLT,0," In a large skillet, cook bacon over medium heat until crisp. Remove to paper towels to drain.
In a small bowl, mix mayonnaise, vinegar, pepper and salt.
Spread half of the mixture over four toast slices.
Layer with bacon, salad greens, tomatoes and avocado.
Spread remaining mayonnaise over remaining toast; place over top.","balsamic vinegar"
BLT,0," In a large skillet, cook bacon over medium heat until crisp. Remove to paper towels to drain.
In a small bowl, mix mayonnaise, vinegar, pepper and salt.
Spread half of the mixture over four toast slices.
Layer with bacon, salad greens, tomatoes and avocado.
Spread remaining mayonnaise over remaining toast; place over top.",bread
